Cadena de bits,Índice,X,Aptitud
111010,0,11.48,5.346238580425001
111010,1,11.48,5.346238580425001
111010,2,11.48,5.346238580425001
111010,3,11.48,5.346238580425001
111010,4,11.48,5.346238580425001
111111,5,11.78,8.32161370294476
111111,6,11.78,8.32161370294476
111111,7,11.78,8.32161370294476
111111,8,11.78,8.32161370294476
111111,9,11.78,8.32161370294476
111111,10,11.78,8.32161370294476
111111,11,11.78,8.32161370294476
111111,12,11.78,8.32161370294476
111111,13,11.78,8.32161370294476
111111,14,11.78,8.32161370294476
111111,15,11.78,8.32161370294476
111111,16,11.78,8.32161370294476
111111,17,11.78,8.32161370294476
111111,18,11.78,8.32161370294476
111111,19,11.78,8.32161370294476
111111,20,11.78,8.32161370294476
111111,21,11.78,8.32161370294476
111111,22,11.78,8.32161370294476
111111,23,11.78,8.32161370294476
111111,24,11.78,8.32161370294476
111111,25,11.78,8.32161370294476
111111,26,11.78,8.32161370294476
111111,27,11.78,8.32161370294476
111111,28,11.78,8.32161370294476
111111,29,11.78,8.32161370294476
111111,30,11.78,8.32161370294476
111111,31,11.78,8.32161370294476
111111,32,11.78,8.32161370294476
111111,33,11.78,8.32161370294476
111111,34,11.78,8.32161370294476
111111,35,11.78,8.32161370294476
111111,36,11.78,8.32161370294476
111111,37,11.78,8.32161370294476
111111,38,11.78,8.32161370294476
111111,39,11.78,8.32161370294476
111111,40,11.78,8.32161370294476
111111,41,11.78,8.32161370294476
111111,42,11.78,8.32161370294476
111111,43,11.78,8.32161370294476
111111,44,11.78,8.32161370294476
111111,45,11.78,8.32161370294476
111111,46,11.78,8.32161370294476
111111,47,11.78,8.32161370294476
111111,48,11.78,8.32161370294476
111111,49,11.78,8.32161370294476
111111,50,11.78,8.32161370294476
111111,51,11.78,8.32161370294476
111111,52,11.78,8.32161370294476
111111,53,11.78,8.32161370294476
111111,54,11.78,8.32161370294476
111111,55,11.78,8.32161370294476
111111,56,11.78,8.32161370294476
111111,57,11.78,8.32161370294476
111111,58,11.78,8.32161370294476
111111,59,11.78,8.32161370294476
111111,60,11.78,8.32161370294476
111111,61,11.78,8.32161370294476
111111,62,11.78,8.32161370294476
111111,63,11.78,8.32161370294476
111111,64,11.78,8.32161370294476
111111,65,11.78,8.32161370294476
111111,66,11.78,8.32161370294476
111111,67,11.78,8.32161370294476
111111,68,11.78,8.32161370294476
111111,69,11.78,8.32161370294476
111111,70,11.78,8.32161370294476
111111,71,11.78,8.32161370294476
111111,72,11.78,8.32161370294476
111111,73,11.78,8.32161370294476
111111,74,11.78,8.32161370294476
111111,75,11.78,8.32161370294476
111111,76,11.78,8.32161370294476
111111,77,11.78,8.32161370294476
111111,78,11.78,8.32161370294476
111111,79,11.78,8.32161370294476
111111,80,11.78,8.32161370294476
111111,81,11.78,8.32161370294476
111111,82,11.78,8.32161370294476
111111,83,11.78,8.32161370294476
111111,84,11.78,8.32161370294476
111111,85,11.78,8.32161370294476
111111,86,11.78,8.32161370294476
111111,87,11.78,8.32161370294476
111111,88,11.78,8.32161370294476
111111,89,11.78,8.32161370294476
111111,90,11.78,8.32161370294476
111111,91,11.78,8.32161370294476
111111,92,11.78,8.32161370294476
111111,93,11.78,8.32161370294476
111111,94,11.78,8.32161370294476
111111,95,11.78,8.32161370294476
111111,96,11.78,8.32161370294476
111111,97,11.78,8.32161370294476
111111,98,11.78,8.32161370294476
111111,99,11.78,8.32161370294476
